year,maxflow
1909,314
1910,230
1911,264
1912,174
1913,232
1914,214
1915,236
1916,309
1917,174
1918,345
1919,185
1920,248
1921,171
1922,209
1923,377
1924,167
1925,212
1926,130
1927,221
1928,289
1929,215
1930,263
1931,187
1932,279
1933,311
1934,269
1935,197
1936,219
1937,148
1938,220
1939,178
1940,204
1941,126
1942,166
1943,209
1944,158
1945,126
1946,204
1947,167
1948,292
1949,121
1950,286
1951,243
1952,155
1953,260
1954,286
1955,246
1956,257
1957,152
1958,191
1959,212
1960,182
1961,266
1962,184
1963,183
1964,246
1965,289
1966,225
1967,275
1968,191
1969,203
1970,155
1971,199
1972,311
1973,215
1974,317
1975,144
1976,191
1977,207
1978,189
1979,150
1980,190
1981,227
1982,192
1983,155
1984,220
1985,160
1986,313
1987,146
1988,244
1989,208
1990,239
1991,242
1992,131
1993,128
1994,147
1995,263
1996,231
1997,213
1998,133
1999,205
2e3,153
2001,165
2002,226
2003,164
2004,162
2005,167
2006,168
2007,298
2008,163
2009,143
2010,138
2011,179
2012,332
2013,466
2014,178
